epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1053.73,2.22061,2.8025,2.34448,0.40852,0.18098,0.15747,0.05996,2.66815,2.88946,2.71726,0.0006,0.0006,0.0006
2,2104.26,1.73176,2.39566,2.03739,0.33283,0.23039,0.15864,0.06047,2.49358,2.81381,2.54769,0.0011898,0.0011898,0.0011898
3,3151.72,1.61301,2.19391,1.93914,0.27691,0.24708,0.17891,0.06726,2.24021,2.781,2.36855,0.00174892,0.00174892,0.00174892
4,9140.1,1.54676,2.21782,1.9194,0.17237,0.1914,0.09287,0.03551,2.31381,3.18694,2.28791,0.0018515,0.0018515,0.0018515
5,15452.2,1.48003,2.07749,1.84738,0.22074,0.25322,0.14561,0.05618,2.2439,2.66841,2.30958,0.001802,0.001802,0.001802
6,18034.9,1.35386,1.95153,1.75596,0.30281,0.28373,0.18844,0.07108,2.1685,2.64786,2.36804,0.0017525,0.0017525,0.0017525
7,19091.2,1.30083,1.92599,1.72328,0.33881,0.25056,0.19975,0.08298,2.20325,2.6342,2.32863,0.001703,0.001703,0.001703
8,20255,1.32338,1.91863,1.73139,0.27205,0.26878,0.1626,0.06235,2.12677,2.61355,2.25149,0.0016535,0.0016535,0.0016535
9,21462.9,1.26344,1.85388,1.67785,0.34702,0.25946,0.21043,0.08466,2.14204,2.46614,2.34335,0.001604,0.001604,0.001604
10,22686.3,1.2408,1.90442,1.67596,0.34314,0.28782,0.22576,0.09421,2.00168,2.39487,2.169,0.0015545,0.0015545,0.0015545
11,23858.7,1.21469,1.77648,1.64184,0.32592,0.28188,0.23281,0.09893,2.02267,2.24388,2.13696,0.001505,0.001505,0.001505
12,25015,1.12878,1.70979,1.59799,0.35829,0.28471,0.23726,0.10204,2.00851,2.39416,2.18633,0.0014555,0.0014555,0.0014555
13,26183.2,1.15006,1.76266,1.57823,0.33347,0.2868,0.23702,0.10657,1.94926,2.33637,2.14792,0.001406,0.001406,0.001406
14,27343.4,1.11729,1.74325,1.56472,0.37811,0.30031,0.23993,0.10629,1.92742,2.45289,2.1589,0.0013565,0.0013565,0.0013565
15,28509.1,1.07494,1.64825,1.51755,0.3894,0.297,0.25536,0.10763,2.01377,2.4178,2.25446,0.001307,0.001307,0.001307
16,38204.5,1.10855,1.6849,1.55146,0.37878,0.287,0.24642,0.11055,1.98348,2.37134,2.18422,0.0012575,0.0012575,0.0012575
17,45398.4,1.08489,1.64352,1.53271,0.40637,0.31382,0.28347,0.13753,1.84572,2.29574,2.05367,0.001208,0.001208,0.001208
18,54703.8,1.02384,1.61362,1.48378,0.39586,0.29007,0.26684,0.12076,1.94066,2.42854,2.16467,0.0011585,0.0011585,0.0011585
19,61712.9,1.01645,1.58154,1.4732,0.39954,0.33071,0.30735,0.14674,1.8027,2.27332,2.02339,0.001109,0.001109,0.001109
20,68469.1,1.0473,1.61147,1.51068,0.41082,0.32098,0.29968,0.14695,1.87139,2.33783,2.06431,0.0010595,0.0010595,0.0010595
21,69952.4,0.9731,1.54373,1.44366,0.41975,0.32528,0.30565,0.15257,1.80238,2.24611,2.01148,0.00101,0.00101,0.00101
22,71716.4,0.96871,1.53433,1.46451,0.42348,0.32733,0.31212,0.1534,1.78696,2.31303,2.02624,0.0009605,0.0009605,0.0009605
23,78555.2,0.95278,1.49105,1.43161,0.44244,0.31709,0.30565,0.16094,1.75934,2.28971,2.0109,0.000911,0.000911,0.000911
